symbol,name,exchange,gatewayName,productClass,size,priceTick,longMarginRatio,shortMarginRatio
MA708,甲醇708,CZCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
MA709,甲醇709,CZCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
SPD RM707&RM801,跨期套利-RM707/RM801,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD RM707&RM803,跨期套利-RM707/RM803,CZCE,CTP,组合,1,1.0,0.0,0.0
MA706,甲醇MA706,CZCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
MA707,甲醇707,CZCE,CTP,期货,10,1.0,0.2,0.2
m1801-P-2600,m1801-P-2600,DCE,CTP,期权,10,0.5,0.0,0.0
au1708C125,au1708C125,INE,CTP,期权,1000,0.01,,
au1708C120,au1708C120,INE,CTP,期权,1000,0.01,,
SP jd1708&jd1712,SP jd1708&jd1712,DCE,CTP,组合,0,1.0,0.0,0.0
cu1710C52000,cu1710C52000,INE,CTP,期权,5,1.0,,
al1802,铝1802,SHFE,CTP,期货,5,5.0,0.08,0.08
al1803,铝1803,SHFE,CTP,期货,5,5.0,0.08,0.08
al1801,铝1801,SHFE,CTP,期货,5,5.0,0.08,0.08
al1806,铝1806,SHFE,CTP,期货,5,5.0,0.08,0.08
al1804,铝1804,SHFE,CTP,期货,5,5.0,0.08,0.08
al1805,铝1805,SHFE,CTP,期货,5,5.0,0.08,0.08
fb1805,中密度纤维板1805,DCE,CTP,期货,500,0.05,0.2,0.2
fb1804,中密度纤维板1804,DCE,CTP,期货,500,0.05,0.2,0.2
fb1806,中密度纤维板1806,DCE,CTP,期货,500,0.05,0.2,0.2
fb1801,中密度纤维板1801,DCE,CTP,期货,500,0.05,0.2,0.2
fb1803,中密度纤维板1803,DCE,CTP,期货,500,0.05,0.2,0.2
fb1802,中密度纤维板1802,DCE,CTP,期货,500,0.05,0.2,0.2
m1803-P-2450,m1803-P-2450,DCE,CTP,期权,10,0.5,0.0,0.0
SP m1707&m1708,SP m1707&m1708,DCE,CTP,组合,0,1.0,0.0,0.0
SP m1707&m1709,SP m1707&m1709,DCE,CTP,组合,0,1.0,0.0,0.0
SPC j1709&jm1805,SPC j1709&jm1805,DCE,CTP,组合,0,0.5,0.0,0.0
SR709P6100,白糖709卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1803-P-2850,m1803-P-2850,DCE,CTP,期权,10,0.5,0.0,0.0
SP m1711&m1801,SP m1711&m1801,DCE,CTP,组合,0,1.0,0.0,0.0
SPD CF707&CF805,跨期套利-CF707/CF805,CZCE,CTP,组合,1,5.0,0.0,0.0
SPD CF707&CF803,跨期套利-CF707/CF803,CZCE,CTP,组合,1,5.0,0.0,0.0
SPD CF707&CF801,跨期套利-CF707/CF801,CZCE,CTP,组合,1,5.0,0.0,0.0
cu1709P48000,cu1709P48000,INE,CTP,期权,5,1.0,,
SR711P6300,白糖711卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPD ZC805&ZC807,跨期套利-ZC805/ZC807,CZCE,CTP,组合,1,0.2,0.0,0.0
SPD ZC805&ZC806,跨期套利-ZC805/ZC806,CZCE,CTP,组合,1,0.2,0.0,0.0
cu1708C49000,cu1708C49000,INE,CTP,期权,5,1.0,,
SPD FG708&FG805,跨期套利-FG708/FG805,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD FG708&FG804,跨期套利-FG708/FG804,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD FG708&FG806,跨期套利-FG708/FG806,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD FG708&FG801,跨期套利-FG708/FG801,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD FG708&FG803,跨期套利-FG708/FG803,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD FG708&FG802,跨期套利-FG708/FG802,CZCE,CTP,组合,1,1.0,0.0,0.0
m1708-P-2950,m1708-P-2950,DCE,CTP,期权,10,0.5,0.0,0.0
SP c1709&c1709,SP c1709&c1709,DCE,CTP,组合,0,1.0,0.0,0.0
cu1707P42500,cu1707P42500,INE,CTP,期权,5,1.0,,
SPC fb1709&bb1709,SPC fb1709&bb1709,DCE,CTP,组合,0,0.05,0.0,0.0
SPD SF708&SF801,跨期套利-SF708/SF801,CZCE,CTP,组合,1,2.0,0.0,0.0
SPD SF708&SF803,跨期套利-SF708/SF803,CZCE,CTP,组合,1,2.0,0.0,0.0
au1804P85,au1804P85,INE,CTP,期权,1000,0.01,,
SPD SF708&SF805,跨期套利-SF708/SF805,CZCE,CTP,组合,1,2.0,0.0,0.0
SPD SF708&SF804,跨期套利-SF708/SF804,CZCE,CTP,组合,1,2.0,0.0,0.0
au1804P80,au1804P80,INE,CTP,期权,1000,0.01,,
SPD SF708&SF806,跨期套利-SF708/SF806,CZCE,CTP,组合,1,2.0,0.0,0.0
SR711P7300,白糖711卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1801-C-2700,m1801-C-2700,DCE,CTP,期权,10,0.5,0.0,0.0
SR805C6500,白糖805买权,CZCE,CTP,期权,10,0.5,0.0,0.0
cu1707P46500,cu1707P46500,INE,CTP,期权,5,1.0,,
j1801,冶金焦炭1801,DCE,CTP,期货,100,0.5,0.1,0.1
j1802,冶金焦炭1802,DCE,CTP,期货,100,0.5,0.1,0.1
j1803,冶金焦炭1803,DCE,CTP,期货,100,0.5,0.1,0.1
j1804,冶金焦炭1804,DCE,CTP,期货,100,0.5,0.1,0.1
j1805,冶金焦炭1805,DCE,CTP,期货,100,0.5,0.1,0.1
j1806,冶金焦炭1806,DCE,CTP,期货,100,0.5,0.1,0.1
SPD MA803&MA806,跨期套利-MA803/MA806,CZCE,CTP,组合,1,1.0,0.0,0.0
wr1707,线材1707,SHFE,CTP,期货,10,1.0,0.2,0.2
wr1706,线材1706,SHFE,CTP,期货,10,1.0,0.2,0.2
SP jd1708&jd1804,SP jd1708&jd1804,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1708&jd1805,SP jd1708&jd1805,DCE,CTP,组合,0,1.0,0.0,0.0
SR805P7000,白糖805卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
wr1709,线材1709,SHFE,CTP,期货,10,1.0,0.2,0.2
wr1708,线材1708,SHFE,CTP,期货,10,1.0,0.2,0.2
m1712-C-2750,m1712-C-2750,DCE,CTP,期权,10,0.5,0.0,0.0
SPC l1805&v1805,SPC l1805&v1805,DCE,CTP,组合,0,5.0,0.0,0.0
SR803P7200,白糖803卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
zn1706,锌1706,SHFE,CTP,期货,5,5.0,0.1,0.1
SR803P6400,白糖803卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPD FG711&FG803,跨期套利-FG711/FG803,CZCE,CTP,组合,1,1.0,0.0,0.0
SPC i1801&j1801,SPC i1801&j1801,DCE,CTP,组合,0,0.5,0.0,0.0
m1805-P-2600,m1805-P-2600,DCE,CTP,期权,10,0.5,0.0,0.0
SR807C6200,白糖807买权,CZCE,CTP,期权,10,0.5,0.0,0.0
cu1708P44500,cu1708P44500,INE,CTP,期权,5,1.0,,
cu1709C46000,cu1709C46000,INE,CTP,期权,5,1.0,,
SPD WH707&WH711,跨期套利-WH707/WH711,CZCE,CTP,组合,1,1.0,0.0,0.0
ag1711,白银1711,SHFE,CTP,期货,15,1.0,0.06999999999999999,0.06999999999999999
ag1710,白银1710,SHFE,CTP,期货,15,1.0,0.06999999999999999,0.06999999999999999
TA710,精对苯二甲酸710,CZCE,CTP,期货,5,2.0,0.06,0.06
SR809C7100,白糖809买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SP cs1709&cs1805,SP cs1709&cs1805,DCE,CTP,组合,0,1.0,0.0,0.0
SPD MA707&MA711,跨期套利-MA707/MA711,CZCE,CTP,组合,1,1.0,0.0,0.0
SP cs1709&cs1801,SP cs1709&cs1801,DCE,CTP,组合,0,1.0,0.0,0.0
SPD SF801&SF806,跨期套利-SF801/SF806,CZCE,CTP,组合,1,2.0,0.0,0.0
SP v1709&v1805,SP v1709&v1805,DCE,CTP,组合,0,5.0,0.0,0.0
SP v1709&v1801,SP v1709&v1801,DCE,CTP,组合,0,5.0,0.0,0.0
cu1709C56000,cu1709C56000,INE,CTP,期权,5,1.0,,
au1712,黄金1712,SHFE,CTP,期货,1000,0.05,0.06,0.06
au1710,黄金1710,SHFE,CTP,期货,1000,0.05,0.06,0.06
cu1709P43000,cu1709P43000,INE,CTP,期权,5,1.0,,
SPC a1803&m1707,SPC a1803&m1707,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1801&jd1804,SP jd1801&jd1804,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1801&jd1805,SP jd1801&jd1805,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1801&jd1803,SP jd1801&jd1803,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1801&jd1801,SP jd1801&jd1801,DCE,CTP,组合,0,1.0,0.0,0.0
SR803C7200,白糖803买权,CZCE,CTP,期权,10,0.5,0.0,0.0
wr1803,线材1803,SHFE,CTP,期货,10,1.0,0.2,0.2
wr1801,线材1801,SHFE,CTP,期货,10,1.0,0.2,0.2
wr1806,线材1806,SHFE,CTP,期货,10,1.0,0.2,0.2
a1811,黄大豆1号1811,DCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
wr1804,线材1804,SHFE,CTP,期货,10,1.0,0.2,0.2
wr1805,线材1805,SHFE,CTP,期货,10,1.0,0.2,0.2
SR805P6200,白糖805卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1712-P-3200,m1712-P-3200,DCE,CTP,期权,10,0.5,0.0,0.0
SPC c1709&cs1801,SPC c1709&cs1801,DCE,CTP,组合,0,1.0,0.0,0.0
SPC a1711&m1803,SPC a1711&m1803,DCE,CTP,组合,0,1.0,0.0,0.0
m1805-P-2850,m1805-P-2850,DCE,CTP,期权,10,0.5,0.0,0.0
SPC c1803&cs1711,SPC c1803&cs1711,DCE,CTP,组合,0,1.0,0.0,0.0
SR807C7400,白糖807买权,CZCE,CTP,期权,10,0.5,0.0,0.0
au1802P65,au1802P65,INE,CTP,期权,1000,0.01,,
SP p1709&p1805,SP p1709&p1805,DCE,CTP,组合,0,2.0,0.0,0.0
cu1710P53000,cu1710P53000,INE,CTP,期权,5,1.0,,
cu1707P30000,cu1707P30000,INE,CTP,期权,5,1.0,,
cu1712P34000,cu1712P34000,INE,CTP,期权,5,1.0,,
m1712-C-3100,m1712-C-3100,DCE,CTP,期权,10,0.5,0.0,0.0
TA711,精对苯二甲酸711,CZCE,CTP,期货,5,2.0,0.06,0.06
SP pp1801&pp1801,SP pp1801&pp1801,DCE,CTP,组合,0,1.0,0.0,0.0
cu1707C46500,cu1707C46500,INE,CTP,期权,5,1.0,,
cu1710P45000,cu1710P45000,INE,CTP,期权,5,1.0,,
SP i1707&i1708,SP i1707&i1708,DCE,CTP,组合,0,0.5,0.0,0.0
SP i1707&i1709,SP i1707&i1709,DCE,CTP,组合,0,0.5,0.0,0.0
SPD RS707&RS711,跨期套利-RS707/RS711,CZCE,CTP,组合,1,1.0,0.0,0.0
cu1709P51000,cu1709P51000,INE,CTP,期权,5,1.0,,
m1711-C-2550,m1711-C-2550,DCE,CTP,期权,10,0.5,0.0,0.0
SR809P7300,白糖809卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
au1712P75,au1712P75,INE,CTP,期权,1000,0.01,,
a1801,黄大豆1号1801,DCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
au1712P70,au1712P70,INE,CTP,期权,1000,0.01,,
SP m1709&m1709,SP m1709&m1709,DCE,CTP,组合,0,1.0,0.0,0.0
IPS SF805&SM805,跨品种套利-SF805/SM8,CZCE,CTP,组合,1,2.0,0.0,0.0
SR803C6000,白糖803买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPD SR807&SR809,跨期套利-SR807/SR809,CZCE,CTP,组合,1,1.0,0.0,0.0
m1708-C-2950,m1708-C-2950,DCE,CTP,期权,10,0.5,0.0,0.0
i1712,铁矿石1712,DCE,CTP,期货,100,0.5,0.1,0.1
i1711,铁矿石1711,DCE,CTP,期货,100,0.5,0.1,0.1
i1710,铁矿石1710,DCE,CTP,期货,100,0.5,0.1,0.1
cu1708P48500,cu1708P48500,INE,CTP,期权,5,1.0,,
SP pp1708&pp1709,SP pp1708&pp1709,DCE,CTP,组合,0,1.0,0.0,0.0
au1707C60,au1707C60,INE,CTP,期权,1000,0.01,,
cu1707P29000,cu1707P29000,INE,CTP,期权,5,1.0,,
au1707C65,au1707C65,INE,CTP,期权,1000,0.01,,
SPD MA709&MA804,跨期套利-MA709/MA804,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD MA709&MA805,跨期套利-MA709/MA805,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD MA709&MA806,跨期套利-MA709/MA806,CZCE,CTP,组合,1,1.0,0.0,0.0
au1710P85,au1710P85,INE,CTP,期权,1000,0.01,,
SR811P6500,白糖811卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SR805C7100,白糖805买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPD MA709&MA802,跨期套利-MA709/MA802,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD MA709&MA803,跨期套利-MA709/MA803,CZCE,CTP,组合,1,1.0,0.0,0.0
SR811P7100,白糖811卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SF801,硅铁801,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SF802,硅铁802,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SF803,硅铁803,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SF804,硅铁804,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SF805,硅铁805,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SF806,硅铁806,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SPD PM707&PM709,跨期套利-PM707/PM709,CZCE,CTP,组合,1,1.0,0.0,0.0
m1711-P-2900,m1711-P-2900,DCE,CTP,期权,10,0.5,0.0,0.0
SPC v1801&pp1709,SPC v1801&pp1709,DCE,CTP,组合,0,5.0,0.0,0.0
m1801-P-2550,m1801-P-2550,DCE,CTP,期权,10,0.5,0.0,0.0
m1711-C-2950,m1711-C-2950,DCE,CTP,期权,10,0.5,0.0,0.0
m1801-P-2800,m1801-P-2800,DCE,CTP,期权,10,0.5,0.0,0.0
sc1912,原油1912,INE,CTP,期货,1000,0.1,0.05,0.05
SP m1711&m1712,SP m1711&m1712,DCE,CTP,组合,0,1.0,0.0,0.0
fb1706,纤维板1706,DCE,CTP,期货,500,0.05,0.2,0.2
fb1707,中密度纤维板1707,DCE,CTP,期货,500,0.05,0.2,0.2
m1805-C-2900,m1805-C-2900,DCE,CTP,期权,10,0.5,0.0,0.0
fb1708,中密度纤维板1708,DCE,CTP,期货,500,0.05,0.2,0.2
fb1709,中密度纤维板1709,DCE,CTP,期货,500,0.05,0.2,0.2
SP pp1709&pp1805,SP pp1709&pp1805,DCE,CTP,组合,0,1.0,0.0,0.0
SR809P6300,白糖809卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1709-C-2850,m1709-C-2850,DCE,CTP,期权,10,0.5,0.0,0.0
au1708C135,au1708C135,INE,CTP,期权,1000,0.01,,
au1708C130,au1708C130,INE,CTP,期权,1000,0.01,,
cu1708P47500,cu1708P47500,INE,CTP,期权,5,1.0,,
TF1706,5年国债1706,CFFEX,CTP,期货,10000,0.005,,
m1712,豆粕1712,DCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
m1711,豆粕1711,DCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
SP a1711&a1801,SP a1711&a1801,DCE,CTP,组合,0,1.0,0.0,0.0
SPD FG707&FG712,跨期套利-FG707/FG712,CZCE,CTP,组合,1,1.0,0.0,0.0
m1709-C-3100,m1709-C-3100,DCE,CTP,期权,10,0.5,0.0,0.0
SR711C7200,白糖711买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SR711P7000,白糖711卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1709-C-2450,m1709-C-2450,DCE,CTP,期权,10,0.5,0.0,0.0
SP m1707&m1711,SP m1707&m1711,DCE,CTP,组合,0,1.0,0.0,0.0
SPD SR707&SR809,跨期套利-SR707/SR809,CZCE,CTP,组合,1,1.0,0.0,0.0
m1709-P-2700,m1709-P-2700,DCE,CTP,期权,10,0.5,0.0,0.0
SPD SR707&SR805,跨期套利-SR707/SR805,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD SR707&SR803,跨期套利-SR707/SR803,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD SR707&SR801,跨期套利-SR707/SR801,CZCE,CTP,组合,1,1.0,0.0,0.0
alefp,alefp,SHFE,CTP,未知,5,5.0,0.0,0.0
m1712-C-2500,m1712-C-2500,DCE,CTP,期权,10,0.5,0.0,0.0
cu1708P43500,cu1708P43500,INE,CTP,期权,5,1.0,,
cu1710P47500,cu1710P47500,INE,CTP,期权,5,1.0,,
m1801-P-2700,m1801-P-2700,DCE,CTP,期权,10,0.5,0.0,0.0
cu1708P39000,cu1708P39000,INE,CTP,期权,5,1.0,,
au1712C80,au1712C80,INE,CTP,期权,1000,0.01,,
SPC fb1805&bb1805,SPC fb1805&bb1805,DCE,CTP,组合,0,0.05,0.0,0.0
SP v1801&v1805,SP v1801&v1805,DCE,CTP,组合,0,5.0,0.0,0.0
SP v1801&v1801,SP v1801&v1801,DCE,CTP,组合,0,5.0,0.0,0.0
SR809C7000,白糖809买权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1805-C-2450,m1805-C-2450,DCE,CTP,期权,10,0.5,0.0,0.0
SPD MA710&MA712,跨期套利-MA710/MA712,CZCE,CTP,组合,1,1.0,0.0,0.0
cu1709P42500,cu1709P42500,INE,CTP,期权,5,1.0,,
SPD MA710&MA711,跨期套利-MA710/MA711,CZCE,CTP,组合,1,1.0,0.0,0.0
SR711,白砂糖711,CZCE,CTP,期货,10,1.0,0.05,0.05
SR709P6200,白糖709卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SP j1801&j1801,SP j1801&j1801,DCE,CTP,组合,0,0.5,0.0,0.0
SPD SF802&SF804,跨期套利-SF802/SF804,CZCE,CTP,组合,1,2.0,0.0,0.0
SR711P6200,白糖711卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPD FG708&FG709,跨期套利-FG708/FG709,CZCE,CTP,组合,1,1.0,0.0,0.0
SPD SF802&SF805,跨期套利-SF802/SF805,CZCE,CTP,组合,1,2.0,0.0,0.0
au1712C85,au1712C85,INE,CTP,期权,1000,0.01,,
SP l1709&l1709,SP l1709&l1709,DCE,CTP,组合,0,5.0,0.0,0.0
SP jd1706&jd1712,SP jd1706&jd1712,DCE,CTP,组合,0,1.0,0.0,0.0
SP jd1706&jd1710,SP jd1706&jd1710,DCE,CTP,组合,0,1.0,0.0,0.0
SR807P6500,白糖807卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
cu1707C42500,cu1707C42500,INE,CTP,期权,5,1.0,,
m1711-C-3050,m1711-C-3050,DCE,CTP,期权,10,0.5,0.0,0.0
SP pp1706&pp1802,SP pp1706&pp1802,DCE,CTP,组合,0,1.0,0.0,0.0
cu1707C31000,cu1707C31000,INE,CTP,期权,5,1.0,,
SR801C7400,白糖801买权,CZCE,CTP,期权,10,0.5,0.0,0.0
IPS SF709&SM709,跨品种套利-SF709/SM7,CZCE,CTP,组合,1,2.0,0.0,0.0
m1712-P-2900,m1712-P-2900,DCE,CTP,期权,10,0.5,0.0,0.0
sc2003,原油2003,INE,CTP,期货,1000,0.1,0.05,0.05
IPS SF803&SM803,跨品种套利-SF803/SM8,CZCE,CTP,组合,1,2.0,0.0,0.0
cu1711P36000,cu1711P36000,INE,CTP,期权,5,1.0,,
sc2006,原油2006,INE,CTP,期货,1000,0.1,0.05,0.05
m1805-C-3050,m1805-C-3050,DCE,CTP,期权,10,0.5,0.0,0.0
cu1711C40000,cu1711C40000,INE,CTP,期权,5,1.0,,
WH803,优质强筋小麦803,CZCE,CTP,期货,20,1.0,0.2,0.2
WH801,优质强筋小麦801,CZCE,CTP,期货,20,1.0,0.2,0.2
WH805,优质强筋小麦805,CZCE,CTP,期货,20,1.0,0.2,0.2
SPD SM708&SM711,跨期套利-SM708/SM711,CZCE,CTP,组合,1,2.0,0.0,0.0
SPD SM708&SM710,跨期套利-SM708/SM710,CZCE,CTP,组合,1,2.0,0.0,0.0
SPD SM708&SM712,跨期套利-SM708/SM712,CZCE,CTP,组合,1,2.0,0.0,0.0
SP c1709&c1711,SP c1709&c1711,DCE,CTP,组合,0,1.0,0.0,0.0
SP a1707&a1709,SP a1707&a1709,DCE,CTP,组合,0,1.0,0.0,0.0
SP a1709&a1709,SP a1709&a1709,DCE,CTP,组合,0,1.0,0.0,0.0
cu1711C33000,cu1711C33000,INE,CTP,期权,5,1.0,,
SPC i1805&jm1801,SPC i1805&jm1801,DCE,CTP,组合,0,0.5,0.0,0.0
SR805C6200,白糖805买权,CZCE,CTP,期权,10,0.5,0.0,0.0
OI711,菜籽油711,CZCE,CTP,期货,10,2.0,0.06999999999999999,0.06999999999999999
cu1709C42000,cu1709C42000,INE,CTP,期权,5,1.0,,
cu1708P53000,cu1708P53000,INE,CTP,期权,5,1.0,,
rb1706,螺纹钢1706,SHFE,CTP,期货,10,1.0,0.1,0.1
SP j1711&j1712,SP j1711&j1712,DCE,CTP,组合,0,0.5,0.0,0.0
SP p1712&p1804,SP p1712&p1804,DCE,CTP,组合,0,2.0,0.0,0.0
SR803C6500,白糖803买权,CZCE,CTP,期权,10,0.5,0.0,0.0
cu1709P56000,cu1709P56000,INE,CTP,期权,5,1.0,,
ZC802,动力煤802,CZCE,CTP,期货,100,0.2,0.08,0.08
ZC803,动力煤803,CZCE,CTP,期货,100,0.2,0.08,0.08
SR805P7100,白糖805卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
ZC801,动力煤801,CZCE,CTP,期货,100,0.2,0.08,0.08
ZC806,动力煤806,CZCE,CTP,期货,100,0.2,0.08,0.08
ZC807,动力煤807,CZCE,CTP,期货,100,0.2,0.08,0.08
ZC804,动力煤804,CZCE,CTP,期货,100,0.2,0.08,0.08
ZC805,动力煤805,CZCE,CTP,期货,100,0.2,0.08,0.08
cu1708C46500,cu1708C46500,INE,CTP,期权,5,1.0,,
al1712,铝1712,SHFE,CTP,期货,5,5.0,0.08,0.08
al1710,铝1710,SHFE,CTP,期货,5,5.0,0.08,0.08
SR709C6900,白糖709买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SR805P6500,白糖805卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SR707,白砂糖707,CZCE,CTP,期货,10,1.0,0.2,0.2
SR709,白砂糖709,CZCE,CTP,期货,10,1.0,0.05,0.05
SPC a1803&m1711,SPC a1803&m1711,DCE,CTP,组合,0,1.0,0.0,0.0
SR801P5700,白糖801卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
m1805-P-2700,m1805-P-2700,DCE,CTP,期权,10,0.5,0.0,0.0
SPC i1801&j1705,SPC i1801&j1705,DCE,CTP,组合,0,0.5,0.0,0.0
SR807C6300,白糖807买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SPC i1801&j1709,SPC i1801&j1709,DCE,CTP,组合,0,0.5,0.0,0.0
SM709,锰硅709,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SPD RM708&RM711,跨期套利-RM708/RM711,CZCE,CTP,组合,1,1.0,0.0,0.0
SM711,锰硅711,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SM710,锰硅710,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SM712,锰硅712,CZCE,CTP,期货,5,2.0,0.06999999999999999,0.06999999999999999
SPC j1801&jm1709,SPC j1801&jm1709,DCE,CTP,组合,0,0.5,0.0,0.0
m1801-P-3050,m1801-P-3050,DCE,CTP,期权,10,0.5,0.0,0.0
rb1709,螺纹钢1709,SHFE,CTP,期货,10,1.0,0.09,0.09
au1708P125,au1708P125,INE,CTP,期权,1000,0.01,,
cu1712P36500,cu1712P36500,INE,CTP,期权,5,1.0,,
auefp,auefp,SHFE,CTP,未知,1000,0.05,0.0,0.0
IF1712,IF1712,CFFEX,CTP,期货,300,0.2,0.2,0.2
c1711,黄玉米1711,DCE,CTP,期货,10,1.0,0.06999999999999999,0.06999999999999999
SR801P6300,白糖801卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
au1708P120,au1708P120,INE,CTP,期权,1000,0.01,,
SR709P5900,白糖709卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SP i1707&i1710,SP i1707&i1710,DCE,CTP,组合,0,0.5,0.0,0.0
SP i1711&i1712,SP i1711&i1712,DCE,CTP,组合,0,0.5,0.0,0.0
SP i1707&i1712,SP i1707&i1712,DCE,CTP,组合,0,0.5,0.0,0.0
SR807P7300,白糖807卖权,CZCE,CTP,期权,10,0.5,0.0,0.0
SR803C7100,白糖803买权,CZCE,CTP,期权,10,0.5,0.0,0.0
SP i1802&i1803,SP i1802&i1803,DCE,CTP,组合,0,0.5,0.0,0.0
pb1803,铅1803,SHFE,CTP,期货,5,5.0,0.08,0.08
pb1802,铅1802,SHFE,CTP,期货,5,5.0,0.08,0.08
pb1801,铅1801,SHFE,CTP,期货,5,5.0,0.08,0.08
pb1806,铅1806,SHFE,CTP,期货,5,5.0,0.08,0.08
pb1805,铅1805,SHFE,CTP,期货,5,5.0,0.08,0.08
pb1804,铅1804,SHFE,CTP,期货,5,5.0,0.08,0.08
y1712,豆油1712,DCE,CTP,期货,10,2.0,0.06999999999999999,0.06999999999999999
y1711,豆油1711,DCE,CTP,期货,10,2.0,0.06999999999999999,0.06999999999999999
cu1710P41000,cu1710P41000,INE,CTP,期权,5,1.0,,
m1708-P-2550,m1708-P-2550,DCE,CTP,期权,10,0.5,0.0,0.0
SR805C7000,白糖805买权,CZCE,CTP,期权,10,0.5,0.0,0.0
au1712P65,au1712P65,INE,CTP,期权,1000,0.01,,
SPD SM711&SM805,跨期套利-SM711/SM805,CZCE,CTP,组合,1,2.0,0.0,0.0
i1706,铁矿石1706,DCE,CTP,期货,100,0.5,0.05,0.05
i1707,铁矿石1707,DCE,CTP,期货,100,0.5,0.2,0.2
SP m1709&m1712,SP m1709&m1712,DCE,CTP,组合,0,1.0,0.0,0.0
SP m1709&m1711,SP m1709&m1711,DCE,CTP,组合,0,1.0,0.0,0.0
i1708,铁矿石1708,DCE,CTP,期货,100,0.5,0.1,0.1
i1709,铁矿石1709,DCE,CTP,期货,100,0.5,0.1,0.1
SPD SM711&SM802,跨期套利-SM711/SM802,CZCE,CTP,组合,1,2.0,0.0,0.0
SP a1805&a1807,SP a1805&a1807,DCE,CTP,组合,0,1.0,0.0,0.0
m1712-C-3000,m1712-C-3000,DCE,CTP,期权,10,0.5,0.0,0.0
SPD SM711&SM801,跨期套利-SM711/SM801,CZCE,CTP,组合,1,2.0,0.0,0.0
SPD SR807&SR811,跨期套利-SR807/SR811,CZCE,CTP,组合,1,1.0,0.0,0.0
cu1711C36500,cu1711C36500,INE,CTP,期权,5,1.0,,
SP i1707&i1801,SP i1707&i1801,DCE,CTP,组合,0,0.5,0.0,0.0
SP i1707&i1803,SP i1707&i1803,DCE,CTP,组合,0,0.5,0.0,0.0
SP i1707&i1805,SP i1707&i1805,DCE,CTP,组合,0,0.5,0.0,0.0
IH1712,上证50指数1712,CFFEX,CTP,期货,300,0.2,0.2,0.2
